"Species","Sex","Pop","Ages","lx","px","qx","Lx","Tx","ex"
"Loxodonta africana","Female","ZIMS_1960-1990",15,0.617382491800591,0.985413444378346,0.0145865556216539,0.613557919756535,11.155783879671,18.0694853317516
"Loxodonta africana","Female","ZIMS_1960-1990",16,0.608377007744107,0.975679145087135,0.0243208549128651,0.599837340832732,10.5422259599145,17.3284424390159
"Loxodonta africana","Female","ZIMS_1960-1990",17,0.593580758806439,0.979670195494371,0.0203298045056286,0.590717009453402,9.94238861908177,16.749849909343
"Loxodonta africana","Female","ZIMS_1960-1990",18,0.581513378021602,0.961515007043817,0.0384849929561826,0.56970041867952,9.35167160962837,16.0816104376553
"Loxodonta africana","Female","ZIMS_1960-1990",19,0.559133839764514,0.982035053596618,0.0179649464033816,0.555090308411447,8.78197119094885,15.7063847086191
"Loxodonta africana","Female","ZIMS_1960-1990",20,0.549089030300828,0.986254458977408,0.0137455410225921,0.548707317957708,8.2268808825374,14.9827813497388
"Loxodonta africana","Female","ZIMS_1960-1990",21,0.541541504509773,0.991596638655462,0.00840336134453779,0.541541504509773,7.67817356457969,14.1783658327912
"Loxodonta africana","Female","ZIMS_1960-1990",22,0.536990735564312,0.958686221854989,0.0413137781450114,0.523554292257849,7.13663206006992,13.2900468991708
"Loxodonta africana","Female","ZIMS_1960-1990",23,0.514805619449282,0.975536091815162,0.0244639081848385,0.508860390018223,6.61307776781207,12.8457761880814
"Loxodonta africana","Female","ZIMS_1960-1990",24,0.502211462042036,1,0,0.502211462042036,6.10421737779385,12.1546755483707
"Loxodonta africana","Female","ZIMS_1960-1990",25,0.502211462042036,0.952059332720628,0.0479406672793724,0.486848847047778,5.60200591575181,11.1546755483707
"Loxodonta africana","Female","ZIMS_1960-1990",26,0.478135109436391,0.965220067713142,0.0347799322868576,0.474898200895625,5.11515706870403,10.6981415247535
"Loxodonta africana","Female","ZIMS_1960-1990",27,0.461505602706224,0.96,0.04,0.451564255137657,4.64025886780841,10.0546100428649
"Loxodonta africana","Female","ZIMS_1960-1990",28,0.443045378597975,1,0,0.443045378597975,4.18869461267075,9.45432412798424
"Loxodonta africana","Female","ZIMS_1960-1990",29,0.443045378597975,0.925925925925926,0.0740740740740742,0.426851763707243,3.74564923407278,8.45432412798424
"Loxodonta africana","Female","ZIMS_1960-1990",30,0.410227202405533,0.937373737373737,0.0626262626262626,0.39329683570262,3.31879747036553,8.09014480488965
"Loxodonta africana","Female","ZIMS_1960-1990",31,0.384536205891247,0.962962962962963,0.037037037037037,0.384536205891247,2.92550063466291,7.60786784142322
